,id,inventory_item_id,code_number,description,createdBy,modifiedBy,modifiedAt,createdAt,inventory_group_id
count,158.0,157.0,157,0,158.0,158.0,158,158,1.0
unique,,,157,0,,,,,
top,,,U111491,,,,,,
freq,,,1,,,,,,
mean,109.63291139240506,145.28025477707007,,,99082.13924050632,99082.13924050632,2023-12-15 14:44:39.139240704,2023-12-15 14:44:39.139240704,13.0
min,31.0,55.0,,,97021.0,97021.0,2023-12-05 10:52:25,2023-12-05 10:52:25,13.0
25%,70.25,99.0,,,97021.0,97021.0,2023-12-05 11:14:12.249999872,2023-12-05 11:14:12.249999872,13.0
50%,109.5,138.0,,,97021.0,97021.0,2023-12-05 11:28:52,2023-12-05 11:28:52,13.0
75%,148.75,177.0,,,97021.0,97021.0,2023-12-05 11:40:46.750000128,2023-12-05 11:40:46.750000128,13.0
max,191.0,597.0,,,293135.0,293135.0,2024-11-23 11:50:40,2024-11-23 11:50:40,13.0
std,45.97664242628692,73.93299412608347,,,15939.223974536053,15939.223974536053,,,
