,id,name,acronym,background_color,symbol_type,icon,sort_order,is_filterable,created_by,modified_by,created_at,modified_at,is_store,is_receive,is_visit,is_exclusive
count,11.0,11,11,11,0,0,11.0,11,11.0,11.0,11,11,11,11,11,11
unique,,11,11,8,0,0,,2,,,,,2,2,2,1
top,,Vegetarian,VEG,#FFC107,,,,False,,,,,False,False,False,False
freq,,1,1,2,,,,10,,,,,9,7,6,11
mean,15.0,,,,,,5.0,,97021.0,98710.36363636363,2023-09-04 17:58:52.363636480,2024-01-13 11:50:22.272727296,,,,
min,10.0,,,,,,0.0,,97021.0,97021.0,2023-07-24 08:28:06,2023-07-24 08:47:53,,,,
25%,12.5,,,,,,2.5,,97021.0,97021.0,2023-07-24 08:31:10.500000,2024-01-06 11:32:52,,,,
50%,15.0,,,,,,5.0,,97021.0,97021.0,2023-07-24 08:35:57,2024-02-07 12:47:23,,,,
75%,17.5,,,,,,7.5,,97021.0,97021.0,2023-09-29 09:28:19.500000,2024-02-07 12:47:38.500000,,,,
max,20.0,,,,,,10.0,,97021.0,115604.0,2024-02-07 12:44:39,2024-07-25 08:11:42,,,,
std,3.3166247903554,,,,,,3.3166247903554,,0.0,5602.98531628858,,,,,,
