,id,name,created_at,modified_at,created_by,modified_by,limit_per_visit,symbol_type,icon,background_color,sort_order,weight_calc_type
count,26.0,26,26,26,26.0,26.0,0,6,0,6,25.0,0
unique,,26,,,,,0,1,0,6,,0
top,,Donation,,,,,,image,,#A2D37E,,
freq,,1,,,,,,6,,1,,
mean,58.53846153846154,,2023-09-01 08:31:12.692307712,2024-08-07 21:27:49.461538560,97643.80769230769,97020.0,,,,,13.0,
min,46.0,,2023-07-24 07:52:35,2024-05-27 13:49:41,97020.0,97020.0,,,,,1.0,
25%,52.25,,2023-07-24 07:58:00.500000,2024-08-10 18:53:21,97021.0,97020.0,,,,,7.0,
50%,58.5,,2023-07-24 08:01:35,2024-08-10 18:53:21,97021.0,97020.0,,,,,13.0,
75%,64.75,,2023-07-24 08:05:18.500000,2024-08-10 18:53:21,97021.0,97020.0,,,,,19.0,
max,72.0,,2024-05-27 13:49:41,2024-08-10 18:53:21,113215.0,97020.0,,,,,25.0,
std,7.716116998754072,,,,3175.9125431186644,0.0,,,,,7.359800721939872,
