,id,inventory_source_id,to_location_id,from_location_id,receive_type,receive_datetime,created_at,modified_at,created_by,modified_by,comment,to_inventory_bin_id,from_inventory_bin_id,recipient_inventory_source_id,group_edits_enabled,is_system
count,1000.0,440.0,652.0,546.0,1000,1000,1000,1000,1000.0,1000.0,4,0,0,316.0,0,1000
unique,,,,,5,,,,,,4,0,0,,0,1
top,,,,,receive,,,,,,food from wegman,,,,,False
freq,,,,,440,,,,,,1,,,,,1000
mean,655.227,148.16136363636363,6.964723926380368,8.098901098901099,,2024-04-10 08:01:21.900000,2024-04-10 18:42:09.622999808,2024-04-10 18:42:21.464000,125294.368,125263.071,,,,189.22151898734177,,
min,149.0,20.0,1.0,1.0,,2024-03-07 09:27:00,2024-03-07 09:28:50,2024-03-07 09:28:50,97021.0,97021.0,,,,60.0,,
25%,400.75,59.0,4.0,8.0,,2024-04-01 08:24:00,2024-04-01 08:39:11.500000,2024-04-01 08:39:11.500000,113215.0,113215.0,,,,190.0,,
50%,651.5,190.0,8.0,8.0,,2024-04-09 11:24:00,2024-04-11 10:30:04,2024-04-11 10:30:04,113215.0,113215.0,,,,190.0,,
75%,911.25,190.0,9.0,9.0,,2024-04-20 06:11:30,2024-04-20 06:15:29.500000,2024-04-20 06:15:29.500000,144512.0,144512.0,,,,191.0,,
max,1165.0,195.0,9.0,9.0,,2024-05-01 11:15:00,2024-05-01 11:16:12,2024-05-01 11:16:12,144514.0,144514.0,,,,194.0,,
std,294.62935007382566,64.47728393722969,2.593916032660998,1.2595756826377558,,,,,15294.276064165408,15286.931345627381,,,,12.980631930087235,,
