,id,inventory_receive_id,inventory_item_id,quantity,unitValue,unitWeight,totalValue,totalWeight,created_at,modified_at,created_by,modified_by,comment,inventory_receive_group_id
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,1000,1000.0,1000.0,133,0
unique,,,,,,,,,,,,,79,0
top,,,,,,,,,,,,,Leonia event,
freq,,,,,,,,,,,,,7,
mean,1819.124,574.674,205.948,130.768,2345.29,1297.753,87817.675,76556.0,2024-04-07 04:19:55.660999936,2024-04-07 04:19:55.831000064,130082.799,130082.799,,
min,1315.0,149.0,55.0,-6864.0,0.0,0.0,-34320000.0,-27456000.0,2024-03-07 09:28:50,2024-03-07 09:28:50,97021.0,97021.0,,
25%,1564.75,335.5,105.0,10.0,0.0,100.0,0.0,1600.0,2024-03-28 08:58:19.249999872,2024-03-28 08:58:19.249999872,113215.0,113215.0,,
50%,1815.5,543.5,223.5,24.0,179.0,520.0,3000.0,14289.5,2024-04-08 09:31:22.500000,2024-04-08 09:31:22.500000,144512.0,144512.0,,
75%,2071.25,810.0,293.75,88.0,879.0,2400.0,37318.0,50000.0,2024-04-16 12:00:39,2024-04-16 12:00:39,144512.0,144512.0,,
max,4215.0,2787.0,370.0,5670.0,222000.0,6400.0,17160000.0,13728000.0,2024-06-12 10:54:50,2024-06-12 10:54:50,144514.0,144514.0,,
std,300.7543412783892,265.59616534703025,101.17251194456513,496.3236134875161,15753.696342457228,1431.7016846063655,1369115.6747606774,1061055.0207665039,,,15658.175822191988,15658.175822191988,,
