,id,name,created_at,modified_at,created_by,modified_by,street_address,unit_no,city,county,state,country,postal_code,parent_inventory_location_id,sortOrder,is_active,contact_first_name,contact_last_name,contact_email,contact_phone,location_group_id,external_api_id
count,10.0,10,10,10,10.0,10.0,10,0,10,10,10,0,10,0,10.0,10,0,0,0,0,0,0
unique,,10,,,,,8,0,6,2,2,0,6,0,,1,0,0,0,0,0,0
top,,-Englewood-,,,,,90 Ridge Road,,Saddle Brook,Bergen County,NJ,,07663,,,True,,,,,,
freq,,1,,,,,2,,3,9,9,,3,,,10,,,,,,
mean,5.5,,2022-12-12 10:54:57.800000,2023-07-28 12:10:04.900000,80699.3,97021.0,,,,,,,,,4.6,,,,,,,
min,1.0,,2018-10-29 11:08:05,2023-07-05 13:47:55,16.0,97021.0,,,,,,,,,0.0,,,,,,,
25%,3.25,,2023-04-17 11:33:29.249999872,2023-07-16 21:58:11.249999872,80468.0,97021.0,,,,,,,,,2.25,,,,,,,
50%,5.5,,2023-04-26 12:11:09.500000,2023-07-27 13:32:26,88744.5,97021.0,,,,,,,,,4.5,,,,,,,
75%,7.75,,2023-06-26 03:46:58.500000,2023-07-27 13:33:35,97021.0,97021.0,,,,,,,,,7.0,,,,,,,
max,10.0,,2023-09-25 08:37:07,2023-09-25 08:44:44,97021.0,97021.0,,,,,,,,,9.0,,,,,,,
std,3.0276503540974917,,,,29518.352769647114,0.0,,,,,,,,,3.0983866769659336,,,,,,,
