,id,client_visit_id,visit_member_id,orig_budget_item_id,budget_item_type,description,derived_annual_amount,organization_id,orig_client_id
count,1000.0,1000.0,0,1000.0,1000,1000,1000,1000.0,1000.0
unique,,,0,,1,1,248,,
top,,,,,Income,Monthly Household Income (Gross/Before Tax) $,24000,,
freq,,,,,1000,1000,82,,
mean,222508.5,124184.287,,984.314,,,,745.0,2353.286
std,288.8194360957494,2433.441022881558,,1820.2458796729816,,,,0.0,1260.2036380733923
min,222009.0,119724.0,,8.0,,,,745.0,153.0
25%,222258.75,121978.0,,138.75,,,,745.0,1385.25
50%,222508.5,124366.0,,297.5,,,,745.0,2329.0
75%,222758.25,126349.25,,515.0,,,,745.0,3428.0
max,223008.0,128034.0,,9201.0,,,,745.0,4915.0
