,id,client_visit_id,orig_hhm_id,first_name,last_name,middle_name,title,gender,pronouns,birthday,is_primary,relationship,id_number,id_type,organization_id,email_address,phone_number,orig_client_id
count,1000.0,1000.0,1000.0,1000,1000,45,0,1000,0,1000,1000,748,0,912,1000.0,296,464,1000.0
unique,,,,313,315,34,0,4,0,958,2,10,0,1,,254,400,
top,,,,Michael,Smith,Michael,,Female,,1988-06-11,False,Self,,Not Available,,gibsonrichard@example.org,714-432-9640,
freq,,,,22,23,4,,572,,3,596,404,,912,,7,8,
mean,229831.697,119948.227,3570.411,,,,,,,,,,,,745.0,,,605.886
std,744.2623701804805,293.04934292434166,5972.465955505201,,,,,,,,,,,,0.0,,,262.2572665873681
min,229311.0,119721.0,156.0,,,,,,,,,,,,745.0,,,95.0
25%,229560.75,119857.75,930.75,,,,,,,,,,,,745.0,,,403.0
50%,229810.5,119940.0,1467.0,,,,,,,,,,,,745.0,,,596.0
75%,230060.25,120036.0,2019.5,,,,,,,,,,,,745.0,,,858.0
max,251507.0,128516.0,32211.0,,,,,,,,,,,,745.0,,,1623.0
