id,inventory_item_id,code_number,description,createdBy,modifiedBy,modifiedAt,createdAt,inventory_group_id
31,212,U111491,,97021,97021,2023-12-05 10:52:25,2023-12-05 10:52:25,
32,204,000000,,97021,97021,2023-12-05 10:56:38,2023-12-05 10:56:38,
33,213,U002,,97021,97021,2023-12-05 10:59:19,2023-12-05 10:59:19,
34,214,U363A,,97021,97021,2023-12-05 10:59:37,2023-12-05 10:59:37,
35,215,U385,,97021,97021,2023-12-05 10:59:53,2023-12-05 10:59:53,
36,216,U478,,97021,97021,2023-12-05 11:00:09,2023-12-05 11:00:09,
37,217,U637,,97021,97021,2023-12-05 11:00:28,2023-12-05 11:00:28,
38,218,U111102,,97021,97021,2023-12-05 11:01:27,2023-12-05 11:01:27,
39,219,U405,,97021,97021,2023-12-05 11:01:41,2023-12-05 11:01:41,
40,55,000001,,97021,97021,2023-12-05 11:02:18,2023-12-05 11:02:18,
