id,inventory_item_id,location_id,quantity,created_at,modified_at,created_by,modified_by
271,68,1,-2.0,2023-07-24 09:46:51,2025-09-16 06:30:43,97021,113214
272,81,1,-21.0,2023-07-24 09:46:51,2025-09-16 06:30:43,97021,113214
273,80,1,11.0,2023-07-24 09:46:51,2025-09-17 11:15:46,97021,347805
274,79,1,12.0,2023-07-24 09:46:51,2025-09-17 11:24:13,97021,347805
275,78,1,-7.0,2023-07-24 09:46:51,2025-09-18 10:53:13,97021,418720
276,77,1,28.0,2023-07-24 09:46:51,2025-09-16 06:30:43,97021,113214
277,75,1,-26.0,2023-07-24 09:46:51,2025-09-16 06:30:43,97021,113214
278,74,1,-17.0,2023-07-24 09:46:51,2025-09-18 10:45:19,97021,418720
279,73,1,87.0,2023-07-24 09:46:51,2025-09-18 10:55:51,97021,418720
280,72,1,14.0,2023-07-24 09:46:51,2025-09-16 06:30:43,97021,113214
