id,name,created_at,modified_at,created_by,modified_by,limit_per_visit,symbol_type,icon,background_color,sort_order,weight_calc_type
46,Donation,2023-07-24 07:52:35,2024-08-10 18:53:21,97021,97020,,,,,1,
47,Food Package,2023-07-24 07:54:40,2024-08-10 18:53:21,97021,97020,,image,,#A2D37E,2,
48,Dinners4Seniors,2023-07-24 07:55:42,2024-08-10 18:53:21,97021,97020,,image,,#0094FF,3,
49,USDA,2023-07-24 07:56:19,2024-08-10 18:53:21,97021,97020,,image,,#FFA76D,24,
50,Produce (fresh),2023-07-24 07:57:01,2024-08-10 18:53:21,97021,97020,,,,,5,
51,Produce (shelf stable),2023-07-24 07:57:25,2024-08-10 18:53:21,97021,97020,,,,,6,
52,Produce (frozen),2023-07-24 07:57:46,2024-08-10 18:53:21,97021,97020,,,,,7,
53,Protein (fresh or frozen),2023-07-24 07:58:44,2024-08-10 18:53:21,97021,97020,,,,,8,
54,Protein (shelf stable),2023-07-24 07:59:23,2024-08-10 18:53:21,97021,97020,,,,,9,
55,Dairy,2023-07-24 07:59:53,2024-08-10 18:53:21,97021,97020,,,,,10,
