id,name,created_at,modified_at,created_by,modified_by,contact_first_name,contact_last_name,phone_number,email_address,street_address,unit_no,city,county,state,country,postal_code,import_id,source_type,is_active,sort_order
20,Anonymous Donor,2023-07-24 09:23:57,2025-09-15 09:30:24,97021,113215,,,,,,,,,,,,,Individual,True,203
25,ShopRite of Englewood,2023-10-19 09:49:47,2025-09-15 09:30:24,97021,113215,,,,,,,Englewood,,NJ,,,,Corporate,True,235
27,Simco,2023-11-28 12:25:18,2025-09-15 09:30:24,97021,113215,,,,,,,,,,,,,Corporate,True,236
28,ShopRite of Oakland,2023-11-28 12:55:30,2025-09-15 09:30:24,97021,113215,,,,,,,Oakland,,NJ,,,,Corporate,True,237
29,First Presbyterian Church of Ramsey,2023-12-07 11:25:50,2025-09-15 09:30:24,97021,113215,,,,,,,Ramsey,,NJ,,,,Religious,True,213
30,First Presbyterian Church (Ridgewood),2023-12-07 11:25:59,2025-09-15 09:30:24,97021,113215,,,,,,,Ridgewood,,NJ,,,,Religious,True,214
31,Abundant Life Reformed Church (Wyckoff),2023-12-07 11:26:07,2025-09-15 09:30:24,97021,113215,,,,,,,Wyckoff,,NJ,,,,Religious,True,215
32,Advent Lutheran Church (Wyckoff),2023-12-07 11:26:44,2025-09-15 09:30:24,97021,113215,,,,,,,Wyckoff,,NJ,,,,Religious,True,216
33,Old Paramus Reformed Church (Ridgewood),2023-12-07 11:27:29,2025-09-15 09:30:24,97021,113215,,,,,,,Ridgewood,,NJ,,,,Religious,True,217
34,Archer United Methodist Church (Allendale),2023-12-07 11:27:38,2025-09-15 09:30:24,97021,113215,,,,,,,Allendale,,NJ,,,,Religious,True,218
