id,name,created_at,modified_at,created_by,modified_by,street_address,unit_no,city,county,state,country,postal_code,parent_inventory_location_id,sortOrder,is_active,contact_first_name,contact_last_name,contact_email,contact_phone,location_group_id,external_api_id
1,-Englewood-,2018-10-29 11:08:05,2023-07-27 13:32:00,16,97021,192 Demarest Avenue,,Englewood,Bergen County,NJ,,07631,,1,True,,,,,,
2,-Hackensack-,2023-04-17 11:32:33,2023-07-27 13:33:50,80468,97021,316 First Street,,Hackensack,Bergen County,NJ,,07601,,2,True,,,,,,
3,-Mahwah-,2023-04-17 11:33:21,2023-07-27 13:32:37,80468,97021,90 Ridge Road,,Mahwah,Bergen County,NJ,,07430,,3,True,,,,,,
4,-Ringwood-,2023-04-17 11:33:54,2023-07-27 13:32:50,80468,97021,145 Carletondale Road,,Ringwood,Passaic County,NJ,,07456,,4,True,,,,,,
5,-Saddle Brook-,2023-04-17 11:34:20,2023-07-27 13:32:15,80468,97021,224 Midland Avenue,,Saddle Brook,Bergen County,NJ,,07663,,5,True,,,,,,
6,Home Delivery Program,2023-05-05 12:47:59,2023-07-27 13:51:30,97021,97021,224 Midland Ave,,Saddle Brook,Bergen County,New Jersey,,07663,,0,True,,,,,,
7,Pop-up Distribution,2023-05-05 12:49:15,2023-07-05 13:47:55,97021,97021,192 W Demarest Ave,,Englewood,Bergen County,NJ,,07631,,7,True,,,,,,
8,Warehouse (Saddle Brook),2023-07-13 08:46:13,2023-07-13 08:46:13,97021,97021,224 Midland Ave,,Saddle Brook,Bergen County,NJ,,07663,,8,True,,,,,,
9,Warehouse (Mahwah),2023-07-13 08:46:51,2023-07-13 08:46:55,97021,97021,90 Ridge Road,,Mahwah,Bergen County,NJ,,07430,,7,True,,,,,,
10,Outreach - USR Catholic Charities,2023-09-25 08:37:07,2023-09-25 08:44:44,97021,97021,570 Route 17 N,,Upper Saddle River,Bergen County,NJ,,07458,,9,True,,,,,,
